20170611 day cam1
small
J0	J1	J2	J3	J4	J5	J6	J7	J8	J0area	J1area	J2area	J3area	J4area	J5area	J6area	J7area	J8area	
27.4	72.0	22.3	17.8	60.8	55.8	59.9	22.0	146.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.1	78.1	21.5	19.0	58.9	61.0	59.5	25.5	146.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.7	81.9	20.6	19.5	61.3	67.8	58.0	29.3	146.8	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.4	83.0	21.2	19.5	64.7	73.3	55.6	32.0	146.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.9	83.2	23.9	18.9	69.1	75.9	53.1	33.0	146.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.3	83.3	28.0	17.9	74.9	76.9	51.6	33.6	146.2	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.0	82.7	30.6	16.6	78.4	77.2	50.3	33.7	146.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.7	81.0	31.5	15.5	79.3	76.8	49.1	33.1	146.8	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.0	79.0	32.3	14.6	79.6	75.5	48.2	31.8	147.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.3	77.3	32.4	13.9	79.0	73.5	47.2	30.1	147.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.6	75.8	32.0	13.5	77.7	70.8	46.3	28.4	147.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.6	74.1	30.9	12.9	75.9	68.1	45.5	27.1	146.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
32.7	73.0	29.6	13.0	74.2	66.7	45.7	26.2	148.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
32.4	71.2	27.6	15.1	72.0	64.3	45.6	24.8	148.2	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.9	68.9	25.9	17.9	70.3	61.4	45.9	23.5	147.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.0	67.1	24.3	19.3	69.1	58.3	48.8	22.0	148.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.3	70.7	22.7	19.9	67.6	55.7	51.8	22.4	148.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.7	76.6	22.1	20.1	66.2	58.6	56.6	25.7	148.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.0	82.0	24.6	19.8	64.8	64.5	59.2	29.5	148.4	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.5	84.0	28.9	18.8	63.2	71.2	60.7	32.5	148.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.0	84.6	31.8	17.5	60.6	75.9	61.2	33.8	148.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.5	84.7	32.7	16.1	62.1	78.0	60.5	34.5	148.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.1	84.1	33.3	15.1	65.3	78.4	59.0	34.7	148.2	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.9	83.0	33.8	14.5	69.8	78.5	56.8	34.6	148.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.6	81.0	33.5	13.9	75.7	77.7	54.3	33.5	148.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.5	78.8	32.3	13.6	79.3	76.2	52.5	31.7	148.4	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.0	76.5	29.8	12.9	79.5	73.2	50.2	29.2	146.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.7	75.0	27.8	12.5	79.8	70.2	48.9	27.7	146.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.2	72.9	25.9	14.2	79.3	67.5	47.8	26.2	146.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.6	71.5	24.5	17.2	78.4	65.6	47.0	25.0	147.4	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.5	69.8	23.1	18.8	76.5	63.1	46.1	23.9	147.2	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.2	67.9	22.0	19.5	73.9	60.4	45.3	22.7	147.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.1	66.1	21.0	19.7	71.6	56.6	44.7	21.4	146.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.4	69.5	20.2	19.2	69.9	56.0	44.1	22.5	146.2	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.6	74.9	22.1	18.3	68.8	60.5	44.6	26.0	146.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.5	80.5	25.4	17.1	67.7	67.3	47.9	29.6	146.4	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.9	82.7	29.3	15.8	66.4	72.9	51.2	32.3	146.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.1	83.4	31.2	14.8	64.7	76.1	56.4	33.4	146.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.4	83.5	31.8	14.0	62.0	77.3	58.8	33.9	146.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.9	83.1	32.3	13.5	60.4	77.5	60.2	34.2	146.8	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.3	81.9	32.1	13.2	62.9	77.1	60.7	33.7	147.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.6	79.7	31.1	12.9	66.5	75.7	59.7	32.2	146.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.9	77.3	29.3	12.0	71.5	73.6	57.6	30.2	146.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.4	75.9	27.5	12.9	76.7	71.0	54.9	28.3	145.8	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.2	74.2	25.9	15.4	78.9	68.1	52.6	27.1	146.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.0	72.3	24.3	17.7	79.1	65.6	50.8	25.6	145.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.4	70.6	22.9	18.9	79.2	63.5	49.3	24.4	146.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.7	68.3	21.7	19.2	78.4	61.1	48.1	23.3	146.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.1	67.4	20.8	19.4	77.0	58.5	47.1	21.9	146.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.6	71.9	20.0	18.9	75.2	55.4	46.3	21.7	146.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.5	78.5	22.0	18.0	73.1	56.6	45.9	24.2	147.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.2	83.0	25.0	16.5	71.2	61.2	45.3	27.9	146.8	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.9	84.3	28.5	15.3	70.1	68.1	45.4	31.5	147.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
32.0	84.4	31.1	14.5	68.8	73.5	45.9	33.4	147.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.7	84.5	32.0	14.0	67.4	76.7	49.1	34.2	147.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.0	83.9	32.6	13.5	65.9	77.7	52.3	34.4	147.8	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.3	82.4	32.7	13.2	64.6	77.9	57.0	34.1	147.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.6	80.1	32.2	12.6	62.6	77.3	59.4	33.1	148.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.1	78.0	30.9	14.2	60.3	76.2	60.7	31.5	147.8	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.4	76.3	29.1	17.1	62.1	74.0	60.9	29.5	147.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.0	74.6	27.4	18.8	65.6	71.5	60.2	28.1	148.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.5	72.9	25.9	19.6	70.4	68.8	58.7	26.9	148.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.0	71.2	24.2	20.0	76.3	66.5	56.4	25.5	148.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.6	69.3	22.8	19.8	79.3	64.4	53.9	24.3	148.4	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.4	66.5	21.3	18.8	79.6	61.2	51.5	23.1	147.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.6	67.1	20.7	17.6	79.5	58.5	49.9	21.5	146.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.1	71.3	22.7	16.3	78.9	55.3	48.7	21.9	147.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.6	77.0	26.0	15.4	78.0	55.8	48.1	25.2	148.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.3	82.0	28.9	14.5	76.0	60.2	47.2	29.0	147.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.4	83.4	31.3	13.9	73.5	66.6	46.5	32.2	147.8	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
32.1	84.2	32.3	13.5	71.6	72.7	46.0	33.8	148.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
32.0	83.6	32.6	12.8	70.1	76.0	45.7	34.3	147.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.7	83.0	32.5	13.0	68.9	77.3	48.1	34.6	147.4	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.1	81.5	31.9	15.4	67.5	77.5	52.1	34.3	147.2	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.3	79.6	30.4	18.1	66.0	77.3	56.9	33.2	147.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.6	77.8	28.7	19.3	64.5	76.4	59.1	31.4	147.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.0	76.4	27.0	19.7	61.9	74.6	60.4	29.5	148.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.4	74.7	25.4	19.8	60.8	72.0	61.1	28.0	147.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.8	72.8	23.8	19.3	63.5	68.9	60.8	26.6	147.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.0	70.6	22.3	18.2	67.2	66.3	59.2	24.9	147.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.4	69.0	21.4	16.8	72.4	64.1	56.8	23.7	146.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.0	66.2	20.4	15.6	77.5	61.7	54.2	22.3	146.8	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.8	68.0	20.2	14.7	79.4	59.2	52.3	21.6	147.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.7	72.5	22.3	14.1	79.8	55.9	50.6	23.7	147.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.9	78.7	25.9	13.6	79.7	55.0	49.2	27.5	147.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.3	82.6	29.6	13.2	78.8	58.9	48.0	30.9	147.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.8	83.6	31.4	12.5	77.2	65.3	47.0	33.1	147.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.4	84.8	32.7	14.3	75.7	72.5	46.9	34.5	148.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.3	84.4	33.0	17.2	73.1	76.2	46.1	34.9	147.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.8	83.0	32.7	18.8	71.2	77.6	45.6	34.8	147.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.8	81.4	31.9	19.6	70.0	78.1	45.5	34.2	147.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.5	79.2	30.1	20.0	68.7	77.7	46.7	32.6	147.8	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.6	77.5	28.2	19.6	67.3	76.7	49.5	30.5	147.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.5	76.1	26.6	18.9	65.8	75.1	53.1	28.7	147.4	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.9	74.3	24.9	17.7	64.1	72.6	57.5	27.4	147.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.1	72.4	23.3	16.3	61.1	69.5	59.6	25.8	147.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.4	70.6	22.0	15.1	61.7	67.0	60.3	24.5	147.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.7	68.6	21.2	14.3	64.7	64.6	60.1	23.3	147.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.3	66.0	20.3	13.8	69.2	62.4	59.4	22.0	147.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.6	69.5	21.8	13.4	75.1	59.8	57.7	22.0	147.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.0	74.9	25.3	13.1	78.7	56.9	55.2	24.8	147.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.0	79.6	28.7	12.2	79.1	53.9	52.2	28.1	146.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.7	82.3	30.7	13.0	79.3	56.9	50.6	31.4	146.2	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.7	82.7	31.5	15.3	78.8	62.4	49.4	32.9	145.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.2	83.1	32.2	18.1	78.1	69.5	48.6	33.8	146.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.7	82.9	32.2	19.2	76.4	74.4	47.8	34.0	147.2	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.2	81.8	31.4	19.6	73.9	76.7	47.3	33.7	146.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.4	79.7	30.0	19.6	71.7	77.3	46.8	32.5	146.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.9	77.7	28.1	18.9	70.0	77.1	49.6	30.7	146.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.8	76.0	26.3	17.7	68.8	76.4	53.0	28.9	146.8	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.5	74.6	24.5	16.3	67.5	74.9	57.7	27.5	146.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.6	72.8	23.1	15.0	66.1	72.8	59.6	26.1	146.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.4	71.1	21.9	14.3	64.7	70.0	60.4	24.7	147.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.7	69.3	21.0	13.8	63.1	67.4	60.5	23.6	146.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.9	67.7	20.4	13.4	60.3	65.2	59.9	22.2	146.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.3	65.4	22.6	13.0	61.6	62.8	58.4	21.3	146.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.6	66.5	25.9	12.9	64.9	60.4	56.1	23.3	147.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.9	70.5	28.9	12.2	69.0	57.5	53.2	26.8	146.4	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.3	76.5	30.9	13.1	74.8	54.7	51.2	30.4	146.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.8	81.4	31.8	15.8	78.3	57.2	49.9	32.6	146.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.5	82.8	32.4	18.3	79.5	62.5	49.0	33.6	147.3	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.3	83.5	32.6	19.2	79.9	69.4	48.2	34.3	147.4	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.2	83.4	31.7	19.7	79.5	74.6	47.4	34.4	147.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.1	82.6	30.2	19.6	78.2	77.1	46.5	33.7	147.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.5	81.1	28.3	19.0	76.4	77.7	45.9	32.2	147.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.7	79.9	27.0	18.0	74.7	78.2	46.0	30.7	148.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.3	78.0	25.1	16.6	72.2	77.1	45.8	28.7	148.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.6	76.5	23.6	15.5	70.8	75.6	46.9	27.2	148.2	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
32.4	75.0	22.4	14.8	69.6	73.5	49.8	25.7	148.7	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
32.7	73.1	21.4	14.2	68.3	70.8	53.5	24.2	148.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
32.6	71.3	20.3	13.8	66.7	68.0	58.1	23.3	148.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
32.2	69.6	21.4	13.5	65.1	65.7	60.1	21.8	148.6	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
31.2	66.3	24.4	12.8	63.8	63.7	61.3	21.7	148.4	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
30.4	69.2	27.9	13.5	61.4	61.3	61.2	24.3	148.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
29.5	74.5	30.9	16.0	60.3	58.8	60.1	27.8	148.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.8	80.2	32.1	18.5	62.9	55.4	58.0	31.1	148.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
28.4	83.8	33.1	19.5	66.7	55.7	55.8	33.4	148.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.7	84.7	33.2	20.0	71.8	59.9	53.5	34.2	148.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
27.1	84.9	32.7	20.0	77.2	66.6	51.9	34.7	148.2	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.2	83.6	30.8	19.0	79.0	71.8	50.0	34.1	147.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.9	82.4	29.1	17.8	79.7	75.3	48.8	33.2	147.2	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.7	80.6	27.4	16.3	79.6	76.5	47.7	31.4	146.9	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.8	79.0	25.9	15.3	79.1	77.0	47.0	29.6	147.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
25.9	77.3	24.3	14.5	77.4	76.6	46.2	28.0	147.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.5	75.7	22.8	14.0	75.2	75.4	45.6	26.5	147.0	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.0	73.8	21.7	13.5	72.6	73.5	45.0	25.0	146.5	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
26.0	71.7	20.6	13.1	70.5	70.7	44.6	23.4	146.1	9779.8	7142.6	8870.8	6922.8	12676.8	11767.7	7329.0	11607.9	957.3	
